Chapter,Term,Definition,
Unit 2 - Biological Bases of Behavior,Individualism,Giving priority to one’s own goals over group goals and defining one’s identity in terms of personal attributes rather than group identifications.,
Unit 2 - Biological Bases of Behavior,Collectivism,Giving priority to the goals of one’s group (often one’s extended family or work group) and defining one’s identity accordingly.,
Unit 2 - Biological Bases of Behavior,Sex,"In psychology, the biologically influenced characteristics by which people define males and females.",
Unit 2 - Biological Bases of Behavior,Gender,"In psychology, the socially influenced characteristics by which people define men and women.",
Unit 2 - Biological Bases of Behavior,Aggression,Any physical or verbal behavior intended to harm someone physically or emotionally.,
Unit 2 - Biological Bases of Behavior,Relational aggression,An act of aggression (physical or verbal) intended to harm a person’s relationship or social standing.,
Unit 2 - Biological Bases of Behavior,X chromosome; X,The sex chromosome found in both men and women. Females have two; males have one. One from each parent produces a female child.,
Unit 2 - Biological Bases of Behavior,Y chromosome; Y,"The sex chromosome found only in males. When paired with an X chromosome from the mother, it produces a male child.",
Unit 2 - Biological Bases of Behavior,Testosterone,"The most important of the male sex hormones. Both males and females have it, but the additional testosterone in males stimulates the growth of the male sex organs during the fetal period, and the development of the male sex characteristics during puberty.",
Unit 2 - Biological Bases of Behavior,Puberty,"The period of sexual maturation, when a person becomes capable of reproducing.",
Unit 2 - Biological Bases of Behavior,Primary sex characteristics; primary,"The body structures (ovaries, testes, and external genitalia) that make sexual reproduction possible.",
Unit 2 - Biological Bases of Behavior,Secondary sex characteristics; secondary,"Nonreproductive sexual traits, such as female breasts and hips, male voice quality, and body hair.",
Unit 2 - Biological Bases of Behavior,Spermarche,First ejaculation.,
Unit 2 - Biological Bases of Behavior,Menarche,The first menstrual period.,
Unit 2 - Biological Bases of Behavior,Disorder of sexual development,An inherited condition that involves unusual development of sex chromosomes and anatomy.,
Unit 2 - Biological Bases of Behavior,Role,"A set of expectations (norms) about a social position, defining how those in the position ought to behave.",
Unit 2 - Biological Bases of Behavior,Gender role,"A set of expected behaviors, attitudes, and traits for males or for females.",
Unit 2 - Biological Bases of Behavior,Gender identity,"Our sense of being male, female, or a combination of the two.",
Unit 2 - Biological Bases of Behavior,Social learning theory; social learning,The theory that we learn social behavior by observing and imitating and by being rewarded or punished.,
Unit 2 - Biological Bases of Behavior,Gender typing,The acquisition of a traditional masculine or feminine role.,
Unit 2 - Biological Bases of Behavior,Androgyny,Displaying both traditional masculine and feminine psychological characteristics.,
Unit 2 - Biological Bases of Behavior,Transgender,An umbrella term describing people whose gender identity or expression differs from that associated with their birth sex.,
Unit 2 - Biological Bases of Behavior,Down syndrome; Down,"A genetic disorder caused when abnormal cell division results in extra genetic material from chromosome 21. Causes a distinct facial appearance, intellectual disability, developmental delays, and may be associated with thyroid or heart disease.",
Unit 2 - Biological Bases of Behavior,Turner syndrome; Turner,"Caused by one of the X chromosomes (sex chromosomes) missing or partially missing. Can cause a variety of medical and developmental problems, including short height, failure of the ovaries to develop and heart defects.",
Unit 2 - Biological Bases of Behavior,Williams syndrome; Williams,"A rare genetic condition characterized by unique physical features, delays in cognitive development and potential cardiovascular problems.",
Unit 2 - Biological Bases of Behavior,Phenylketonuria; PKU,"A birth defect that causes an amino acid called phenylalanine to build up in the body. Untreated can lead to brain damage, intellectual disabilities, behavioral symptoms, or seizures.",
Unit 3 - Sensation and Perception,Sensation,The process by which our sensory receptors and nervous system receive and represent stimulus energies from our environment.,
Unit 3 - Sensation and Perception,Perception,"The process of organizing and interpreting sensory information, enabling us to recognize meaningful objects and events.",
Unit 3 - Sensation and Perception,Bottom-up processing; bottom-up,Analysis that begins with the sensory receptors and works up to the brain’s integration of sensory information.,
Unit 3 - Sensation and Perception,Top-down processing; top-down,"Processing information processing guided by higher-level mental processes, as when we construct perceptions drawing on our experience and expectations.",
Unit 3 - Sensation and Perception,Transduction,"Conversion of one form of energy into another. In sensation, the transforming of stimulus energies, such as sights, sounds, and smells, into neural impulses our brain can interpret.",
Unit 3 - Sensation and Perception,Psychophysics,"The study of relationships between the physical characteristics of stimuli, such as their intensity, and our psychological experience of them.",
Unit 3 - Sensation and Perception,Absolute threshold; absolute,The minimum stimulus energy needed to detect a particular stimulus 50 percent of the time.,
Unit 3 - Sensation and Perception,Signal detection theory; signal detection,"A theory predicting how and when we detect the presence of a faint stimulus (signal) amid background stimulation (noise). Assumes there is no single absolute threshold and that detection depends partly on a person’s experience, expectations, motivation, and alertness.",
Unit 3 - Sensation and Perception,Subliminal,Below one’s absolute threshold for conscious awareness.,
Unit 3 - Sensation and Perception,Priming,"The activation, often unconsciously, of certain associations, thus predisposing one’s perception, memory, or response.",
Unit 3 - Sensation and Perception,Difference threshold; difference,The minimum difference between two stimuli required for detection 50% of the time. We experience the difference threshold as a just noticeable difference (or jnd).,
Unit 3 - Sensation and Perception,Weber's law; weber,"The principle that, to be perceived as different, two stimuli must differ by a constant mnimum percentage (rather than a constant amount).",
Unit 3 - Sensation and Perception,Sensory adaptation,Diminished sensitivity as a consequence of constant stimulation.,
Unit 3 - Sensation and Perception,Perceptual set,A mental predisposition to perceive one thing and not another.,
Unit 3 - Sensation and Perception,Wavelength,The distance from the peak of one light or sound wave to the peak of the next. Electromagnetic wavelengths vary from the short blips of cosmic rays to the long pulses of radio transmission.,
Unit 3 - Sensation and Perception,Hue,"The dimension of color that is determined by the wavelength of light; what we know as the color names blue, green,and so forth.",
Unit 3 - Sensation and Perception,Intensity,"The amount of energy in alight wave or sound wave, which influences what we perceive as brightness orloudness. Intensity is determined by thewave’s amplitude (height).",
Unit 3 - Sensation and Perception,Pupil,The adjustable opening in the center of the eye through which light enters.,
Unit 3 - Sensation and Perception,Iris,A ring of muscle tissue that forms the colored portion of the eye around the pupil and controls the size of the pupil opening.,
Unit 3 - Sensation and Perception,Lens,Lens the transparent structure behind the pupil that changes shape to help focus images on the retina.,
Unit 3 - Sensation and Perception,Retina,"Retina the light-sensitive inner surface of the eye, containing the receptor rods and cones plus layers of neurons that begin the processing of visual information.",
Unit 3 - Sensation and Perception,Accomodation,accommodation the process by which the eye’s lens changes shape to focus near or far objects on the retina.,
Unit 3 - Sensation and Perception,Rods,"rods retinal receptors that detect black, white, and gray; necessary for peripheral and twilight vision, when cones don’t respond.",
Unit 3 - Sensation and Perception,Cones,Retinal receptor cells that are concentrated near the center of the retina and that function in daylight or in well-lit conditions. The cones detect fine detail and give rise to color sensations.,
Unit 3 - Sensation and Perception,Optic nerve,The nerve that carries neural impulses from the eye to the brain.,
Unit 3 - Sensation and Perception,Blind spot,"The point at which the optic nerve leaves the eye, creating a “blind” spot because no receptor cells are located there.",
Unit 3 - Sensation and Perception,Fovea,"The central focal point in the retina, around which the eye’s cones cluster.",
Unit 3 - Sensation and Perception,Young-Helmholtz trichromatic (three-color) theory; trichromatic,"The theory that the retina contains three different color receptors—one most sensitive to red, one to green, one to blue—which, when stimulated in combination, can produce the perception of any color.",
Unit 3 - Sensation and Perception,Opponent-process theory; opponent-process,"The theory that opposing retinal processes (red-green, yellow-blue, white-black) enable color vision. For example, some cells are stimulated by green and inhibited by red; others are stimulated by red and inhibited by green.",
Unit 3 - Sensation and Perception,Feature detectors,"Nerve cells in the brain that respond to specific features of the stimulus, such as shape, angle, or movement.",
Unit 3 - Sensation and Perception,Parallel processing; parallel,"The processing of many aspects of a problem simultaneously; the brain’s natural mode of information processing for many functions, including vision.",
Unit 3 - Sensation and Perception,Gestalt,An organized whole. Psychologists in this field emphasized our tendency to integrate pieces of information into meaningful wholes.,
Unit 3 - Sensation and Perception,Figure-ground,The organization of the visual field into objects (the figures) that stand out from their surroundings (the ground).,
Unit 3 - Sensation and Perception,Grouping,The perceptual tendency toorganize stimuli into coherent groups.,
Unit 3 - Sensation and Perception,Depth perception,the ability to see objects in three dimensions although the images that strike the retina are two-dimensional; allows us to judge distance.,
Unit 3 - Sensation and Perception,Visual cliff,A laboratory device for testing depth perception in infants and young animals.,
Unit 3 - Sensation and Perception,Binocular cues; binocular,"Depth cues, such as retinal disparity, that depend on the use of two eyes.",
Unit 3 - Sensation and Perception,Retinal disparity,"A binocular cue for perceiving depth: By comparing images from the retinas in the two eyes, the brain computes distance—the greater the disparity (difference) between the two images, the closer the object.",
Unit 3 - Sensation and Perception,Monocular cues,"Depth cues, such as interposition and linear perspective, available to either eye alone.",
Unit 3 - Sensation and Perception,Phi phenomenon; phi,An illusion of movement created when two or more adjacent lights blink on and off in quick succession.,
Unit 3 - Sensation and Perception,Perceptual constancy,"Perceiving objects as unchanging (having consistent color, brightness, shape, and size) even as illumination and retinal images change.",
Unit 3 - Sensation and Perception,Color constancy,"Perceiving familiar objects as having consistent color, even if changing illumination alters the wavelengths reflected by the objects.",
Unit 3 - Sensation and Perception,Perceptual adaptation,"In vision, the ability to adjust to an artificially displaced or even inverted visual field.",
Unit 3 - Sensation and Perception,Audition,The sense or act of hearing.,
Unit 3 - Sensation and Perception,Frequency,"The number of complete wavelengths that pass a point in a given time (for example, per second).",
Unit 3 - Sensation and Perception,Pitch,A tone’s experienced highness or lowness; depends on frequency.,
Unit 3 - Sensation and Perception,Middle ear,"The chamber between the eardrum and cochlea containing three tiny bones (hammer, anvil, and stirrup) that concentrate the vibrations of the eardrum on the cochlea’s oval window.",
Unit 3 - Sensation and Perception,Cochlea,"A coiled, bony, fluid-filled tube in the inner ear; soundwaves traveling through the cochlear fluid trigger nerve impulses.",
Unit 3 - Sensation and Perception,Inner ear,"The innermost part of theear, containing the cochlea, semicircular canals, and vestibular sacs.",
Unit 3 - Sensation and Perception,Sensorineural hearing loss,"The most common form of hearing loss, also called nerve deafness; caused by damage to the cochlea’s receptor cells or to the auditory nerves.",
Unit 3 - Sensation and Perception,Conduction hearing loss,Less common form of hearing loss caused by damage to the mechanical system that conducts sound waves to the cochlea.,
Unit 3 - Sensation and Perception,Cochlear implant,A device for converting sounds into electrical signals and stimulating the auditory nerve through electrodes threaded into the cochlea.,
Unit 3 - Sensation and Perception,Place theory,"In hearing, the theorythat links the pitch we hear with theplace where the cochlea’s membrane isstimulated.",
Unit 3 - Sensation and Perception,Frequency theory,"In hearing, the theory that the rate of nerve impulsestraveling up the auditory nerve matches the frequency of a tone, thus enabling us to sense its pitch. (Also called temporal theory.)",
Unit 3 - Sensation and Perception,Nociceptors,Sensory receptors that enable the perception of pain in response to potentially harmful stimuli.,
Unit 3 - Sensation and Perception,Gate-control theory,The theory that the spinal cord contains a neurological “gate” that blocks pain signals or allows them to pass on to the brain. The “gate”is opened by the activity of pain signals traveling up small nerve fibers and is closed by activity in larger fibers or by information coming from the brain.,
Unit 3 - Sensation and Perception,Hypnosis,"A social interaction in which one person (the hypnotist) suggests to another (the subject) that certain perceptions, feelings, thoughts, or behaviors will spontaneously occur.",
Unit 3 - Sensation and Perception,Dissociation,"A split in consciousness, which allows some thoughts and behaviors to occur simultaneously with others.",
Unit 3 - Sensation and Perception,Posthypnotic suggestion,"A suggestion, made during a hypnosis session, to be carried out after the subject is no longer hypnotized; used by some clinicians to help control undesired symptoms and behaviors.",
Unit 3 - Sensation and Perception,Kinesthesia,The system for sensing the position and movement of individual body parts.,
Unit 3 - Sensation and Perception,Vestibular sense,"The sense of body movement and position, including the sense of balance.",
Unit 3 - Sensation and Perception,Sensory interaction,"The principle that one sense may influence another, as when the smell of food influences its taste.",
Unit 3 - Sensation and Perception,Embodied cognition,"In psychological science, the influence of bodily sensations, gestures, and other states on cognitive preferences and judgments.",
Unit 3 - Sensation and Perception,Extrasensory perception; ESP,"The controversial claim that perception can occur apart from sensory input; includes telepathy, clairvoyance, and precognition.",
Unit 3 - Sensation and Perception,Parapsychology,"The study of paranormal phenomena, including ESP and psychokinesis.",
Unit 4 - Learning,Learning,The process of acquiring through experience new information or behaviors.,
Unit 4 - Learning,Associative learning,Learning that certain events occur together. The events may be two stimuli (as in classical conditioning) or a response and its consequences (as in operant conditioning).,
Unit 4 - Learning,Stimulus,Any event or situation that evokes a response.,
Unit 4 - Learning,Respondent behavior,Behavior that occurs as an automatic response to some stimulus.,
Unit 4 - Learning,Operant behavior,"Behavior that operates on the environment, producing consequences.",
Unit 4 - Learning,Cognitive learning,"The acquisition of mental information, whether by observing events, by watching others, or through language.",
Unit 4 - Learning,Classical conditioning,A type of learning in which one learns to link two or more stimuli and anticipate events.,
Unit 4 - Learning,Behaviorism,The view that psychology (1) should be an objective science that (2) studies behavior without reference to mental processes. Most research psychologists today agree with (1) but not with (2).,
Unit 4 - Learning,Neutral stimulus; NS,"In classical conditioning, a stimulus that elicits no response before conditioning.",
Unit 4 - Learning,Unconditioned response; UR,"In classical conditioning, an unlearned, naturally occurring response (such as salivation) to an unconditioned stimulus (US) (such as food in the mouth).",
Unit 4 - Learning,Unconditioned stimulus; US,"In classical conditioning, a stimulus that unconditionally—naturally and automatically—triggers an unconditioned response (UR).",
Unit 4 - Learning,Conditioned response; CR,"In classical conditioning, a learned response to a previously neutral (but now conditioned) stimulus (CS).",
Unit 4 - Learning,Conditioned stimulus; CS,"In classical conditioning, an originally irrelevant stimulus that, after association with an unconditioned stimulus (US), comes to trigger a conditioned response (CR).",
Unit 4 - Learning,Acquisition,"In classical conditioning, the initial stage, when one links a neutral stimulus and an unconditioned stimulus so that the neutral stimulus begins triggering the conditioned response. In operant conditioning, the strengthening of a reinforced response.",
Unit 4 - Learning,Higher-order conditioning; higher-order,"A procedure in which the conditioned stimulus in one conditioning experience is paired with a new neutral stimulus, creating a second (often weaker) conditioned stimulus. For example, an animal that has learned that a tone predicts food might then learn that a light predicts the tone and begin responding to the light alone. (Also called second-order conditioning.",
Unit 4 - Learning,Extinction ,The diminishing of a conditioned response; occurs in classical conditioning when an unconditioned stimulus (US) does not follow a conditioned stimulus (CS); occurs in operant conditioning when a response is no longer reinforced.,
Unit 4 - Learning,Spontaneous recovery,"The reappearance, after a pause, of an extinguished conditioned response.",
Unit 4 - Learning,Generalization,"The tendency, once a response has been conditioned, for stimuli similar to the conditioned stimulus to elicit similar responses.",
Unit 4 - Learning,Discrimination,"In classical conditioning, the learned ability to distinguish between a conditioned stimulus and stimuli that do not signal an unconditioned stimulus.",
Unit 4 - Learning,Operant conditioning; operant,A type of learning in which behavior is strengthened if followed by a reinforcer or diminished if followed by a punisher.,
Unit 4 - Learning,Law of effect,"Thorndike’s principle that behaviors followed by favorable consequences become more likely, and that behaviors followed by unfavorable consequences become less likely.",
Unit 4 - Learning,Operant chamber,"In operant conditioning research, a chamber (also known as a Skinner box) containing a bar or key that an animal can manipulate to obtain a food or water reinforcer; attached devices record the animal’s rate of bar pressing or key pecking.",
Unit 4 - Learning,Reinforcement,"In operant conditioning, any event that strengthens the behavior it follows.",
Unit 4 - Learning,Shaping,An operant conditioning procedure in which reinforcers guide behavior toward closer and closer approximations of the desired behavior.,
Unit 4 - Learning,Positive reinforcement,"Increasing behaviors by presenting positive reinforcers. A positive reinforcer is any stimulus that, when presented after a response, strengthens the response.",
Unit 4 - Learning,Negative reinforcement,"Increasing behaviors by stopping or reducing negative stimuli. A negative reinforcer is any stimulus that, when removed after a response, strengthens the response. (Note: not punishment.)",
Unit 4 - Learning,Primary reinforcer,"An innately reinforcing stimulus, such as one that satisfies a biological need.",
Unit 4 - Learning,Conditioned reinforcer,A stimulus that gains its reinforcing power through its association with a primary reinforcer; also known as a secondary reinforcer.,
Unit 4 - Learning,Reinforcement schedule,A pattern that defines how often a desired response will be reinforced.,
Unit 4 - Learning,Continuous reinforcement schedule,Reinforcing the desired response every time it occurs.,
Unit 4 - Learning,Partial (intermittent) reinforcement schedule,Reinforcing a response only part of the time; results in slower acquisition of a response but much greater resistance to extinction than does continuous reinforcement.,
Unit 4 - Learning,Fixed-ratio schedule,"In operant conditioning, a reinforcement schedule that reinforces a response only after a specified number of responses",
Unit 4 - Learning,Variable-ratio schedule,"In operant conditioning, a reinforcement schedule that reinforces a response after an unpredictable number of responses.",
Unit 4 - Learning,Fixed-interval schedule,"In operant conditioning, a reinforcement schedule that reinforces a response only after a specified time has elapsed.",
Unit 4 - Learning,Variable-interval schedule,"In operant conditioning, a reinforcement schedule that reinforces a response at unpredictable time intervals.",
Unit 4 - Learning,Punishment,An event that tends to decrease the behavior that it follows.,
Unit 4 - Learning,Cognitive map,"A mental representation of the layout of one’s environment. For example, after exploring a maze, rats act as if they have learned a cognitive map of it.",
Unit 4 - Learning,Latent learning,Learning that occurs but is not apparent until there is an incentive to demonstrate it.,
Unit 4 - Learning,Intrinsic motivation,A desire to perform a behavior effectively for its own sake.,
Unit 4 - Learning,Extrinsic motivation,A desire to perform a behavior to receive promised rewards or avoid threatened punishment. ,
Unit 4 - Learning,Observational learning,Learning by observing others.,
Unit 4 - Learning,Modeling,The process of observing and imitating a specific behavior.,
Unit 4 - Learning,Mirror neurons,Frontal lobe neurons that some scientists believe fire when performing certain actions or when observing another doing so. The brain’s mirroring of another’s action may enable imitation and empathy.,
Unit 4 - Learning,Prosocial behavior; prosocial,"Positive, constructive, helpful behavior. The opposite of antisocial behavior.",
Unit 5 - Cognition,Memory,"The persistence of learning over time through the encoding, storage, and retrieval of information.",
Unit 5 - Cognition,Recall,"A measure of memory in which the person must retrieve information learned earlier, as on a fill-in-the-blank test.",
Unit 5 - Cognition,Recognition,"A measure of memory in which the person need only identify items previously learned, as on a multiplechoice test.",
Unit 5 - Cognition,Relearning,A measure of memory that assesses the amount of time saved when learning material again.,
Unit 5 - Cognition,Encoding,"The processing of information into the memory system—for example, by extracting meaning",
Unit 5 - Cognition,Storage,The process of retaining encoded information over time.,
Unit 5 - Cognition,Retrieval,The process of getting information out of memory storage.,
Unit 5 - Cognition,Parallel processing; parallel,The processing of many aspects of a problem simultaneously; the brain’s natural mode of information processing for many functions,
Unit 5 - Cognition,Sensory memory; sensory,"The immediate, very brief recording of sensory information in the memory system.",
Unit 5 - Cognition,Short-term memory; short-term,"Activated memory that holds a few items briefly, such as the seven digits of a phone number while calling, before the information is stored or forgotten.",
Unit 5 - Cognition,Long-term memory; long-term,"The relatively permanent and limitless storehouse of the memory system. Includes knowledge, skills, and experiences.",
Unit 5 - Cognition,Working memory; working,"A newer understanding of short-term memory that focuses on conscious, active processing of incoming auditory and visual-spatial information, and of information retrieved from long-term memory.",
Unit 5 - Cognition,Explicit memory; explicit,Memory of facts and experiences that one can consciously know and “declare.” (Also called declarative memory.),
Unit 5 - Cognition,Effortful processing; effortful,Encoding that requires attention and conscious effort.,
Unit 5 - Cognition,Automatic processing; automatic,"Unconscious encoding of incidental information, such as space, time, and frequency, and of well-learned information, such as word meanings",
Unit 5 - Cognition,Implicit memory; implicit,Retention of learned skills or classically conditioned associations independent of conscious recollection. (Also called nondeclarative memory.),
Unit 5 - Cognition,Iconic memory; iconic,A momentary sensory memory of visual stimuli; a photographic or picture-image memory lasting no more than a few tenths of a second,
Unit 5 - Cognition,Echoic memory; echoic,"A momentary sensory memory of auditory stimuli; if attention is elsewhere, sounds and words can still be recalled within 3 or 4 seconds",
Unit 5 - Cognition,Chunking,"Organizing items into familiar, manageable units; often occurs automatically.",
Unit 5 - Cognition,Mnemonics,"Memory aids, especially those techniques that use vivid imagery and organizational devices.",
Unit 5 - Cognition,Spacing effect; spacing,The tendency for distributed study or practice to yield better long-term retention than is achieved through massed study or practice.,
Unit 5 - Cognition,Testing effect; testing,"Enhanced memory after retrieving, rather than simply rereading, information. Also sometimes referred to as a retrieval practice effect or testenhanced learning.",
Unit 5 - Cognition,Shallow processing; shallow,Encoding on a basic level based on the structure or appearance of words.,
Unit 5 - Cognition,Deep processing; deep,"Encoding semantically, based on the meaning of the words; tends to yield the best retention.",
Unit 5 - Cognition,Hippocampus,A neural center located in the limbic system; helps process explicit memories for storage.,
Unit 5 - Cognition,Memory consolidation,The neural storage of a long-term memory.,
Unit 5 - Cognition,Flashbulb memory; flashbulb,A clear memory of an emotionally significant moment or event.,
Unit 5 - Cognition,Long-term potentiation; LPT,"An increase in a cell’s firing potential after brief, rapid stimulation. Believed to be a neural basis for learning and memory.",
Unit 5 - Cognition,Priming,"The activation, often unconsciously, of particular associations in memory.",
Unit 5 - Cognition,Encoding specificity principle,The idea that cues and contexts specific to a particular memory will be most effective in helping us recall it.,
Unit 5 - Cognition,Mood-congruent memory; mood-congruent,The tendency to recall experiences that are consistent with one’s current good or bad mood.,
Unit 5 - Cognition,Serial position effect; serial position,Our tendency to recall best the last (a recency effect) and first (a primacy effect) items in a list.,
Unit 5 - Cognition,Anterograde amnesia; anterograde,An inability to form new memories.,
Unit 5 - Cognition,Retrograde amnesial retrograde,An inability to retrieve information from one’s past.,
Unit 5 - Cognition,Proactive interference; proactive,The forwardacting disruptive effect of prior learning on the recall of new information.,
Unit 5 - Cognition,Retroactive interference; retroactive,The backward-acting disruptive effect of new learning on the recall of old information.,
Unit 5 - Cognition,Repression,"In psychoanalytic theory, the basic defense mechanism that banishes from consciousness anxietyarousing thoughts, feelings, and memories.",
Unit 5 - Cognition,Reconsolidation,"A process in which previously stored memories, when retrieved, are potentially altered before being stored again.",
Unit 5 - Cognition,Misinformation effect; misinformation,When misleading information has corrupted one’s memory of an event.,
Unit 5 - Cognition,source amnesia; source misattribution,"Attributing to the wrong source an event we have experienced, heard about, read about, or imagined. At the heart of many false memories.",
Unit 5 - Cognition,Deja vu,That eerie sense that “I’ve experienced this before.” Cues from the current situation may unconsciously trigger retrieval of an earlier experience.,
Unit 5 - Cognition,Cognition,"all the mental activities associated with thinking, knowing, remembering, and communicating.",
Unit 5 - Cognition,Concept,"a mental grouping of similar objects, events, ideas, or people.",
Unit 5 - Cognition,Prototype,"a mental image or best example of a category. Matching new items to a prototype provides a quick and easy method for sorting items into categories (as when comparing feathered creatures to a prototypical bird, such as a robin).",
Unit 5 - Cognition,Algorithm,"a methodical, logical rule or procedure that guarantees solving a particular problem. Contrasts with the usually speedier—but also more error-prone—use of heuristics.",
Unit 5 - Cognition,Heuristic,a simple thinking strategy that often allows us to make judgments and solve problems efficiently; usually speedier but also more error-prone than algorithms.,
Unit 5 - Cognition,Insight,a sudden realization of a problem’s solution; contrasts with strategy-based solutions.,
Unit 5 - Cognition,Confirmation bias,a tendency to search for information that supports our preconceptions and to ignore or distort contradictory evidence.,
Unit 5 - Cognition,Mental set,"a tendency to approach a problem in one particular way, often a way that has been successful in the past.",
Unit 5 - Cognition,Intuition,"an effortless, immediate, automatic feeling or thought, as contrasted with explicit, conscious reasoning.",
Unit 5 - Cognition,Availability heuristic,"estimating the likelihood of events based on their availability in memory; if instances come readily to mind (perhaps because of their vividness), we presume such events are common.",
Unit 5 - Cognition,Overconfidence,the tendency to be more confident than correct—to overestimate the accuracy of our beliefs and judgments.,
Unit 5 - Cognition,Belief perseverance,clinging to one’s initial conceptions after the basis on which they were formed has been discredited.,
Unit 5 - Cognition,Framing,the way an issue is posed; how an issue is framed can significantly affect decisions and judgments,
Unit 5 - Cognition,Creativity, the ability to produce new and valuable ideas.,
Unit 5 - Cognition,Convergent thinking; convergent,narrowing the available problem solutions to determine the single best solution,
Unit 5 - Cognition,Divergent thinking,expanding the number of possible problem solutions; creative thinking that diverges in different directions.,
Unit 5 - Cognition,Language,"our spoken, written, or signed words and the ways we combine them to communicate meaning.",
Unit 5 - Cognition,Phoneme,"in a language, the smallest distinctive sound unit.",
Unit 5 - Cognition,Morpheme,"in a language, the smallest unit that carries meaning; may be a word or a part of a word (such as a prefix)",
Unit 5 - Cognition,Grammar,"in a language, a system of rules that enables us to communicate with and understand others. In a given language, semantics is the set of rules for deriving meaning from sounds, and syntax is the set of rules for combining words into grammatically sensible sentences.",
Unit 5 - Cognition,Babbling stage; babbling,"beginning at about 4 months, the stage of speech development in which the infant spontaneously utters various sounds at first unrelated to the household language",
Unit 5 - Cognition,One-word stage; one-word,"the stage in speech development, from about age 1 to 2, during which a child speaks mostly in single words.",
Unit 5 - Cognition,Two-word stage; two-word,"beginning about age 2, the stage in speech development during which a child speaks mostly in two-word statements.",
Unit 5 - Cognition,Telegraphic speech; telegraphic,early speech stage in which a child speaks like a telegram—“go car”—using mostly nouns and verbs.,
Unit 5 - Cognition,Aphasia,"impairment of language, usually caused by left hemisphere damage either to Broca’s area (impairing speaking) or to Wernicke’s area (impairing understanding).",
Unit 5 - Cognition,Broca’s area; Broca,"controls language expression—an area of the frontal lobe, usually in the left hemisphere, that directs the muscle movements involved in speech.",
Unit 5 - Cognition,Wernicke’s area; Wernicke,controls language reception—a brain area involved in language comprehension and expression; usually in the left temporal lobe.,
Unit 5 - Cognition,Linguistic determinism,Whorf’s hypothesis that language determines the way we think.,
Unit 5 - Cognition,Intelligence,"the mental potential to learn from experience, solve problems, and use knowledge to adapt to new situations",
Unit 5 - Cognition,General intelligence; g,"a general intelligence factor that, according to Spearman and others, underlies specific mental abilities and is therefore measured by every task on an intelligence test.",
Unit 5 - Cognition,Savant syndrome; savant,"a condition in which a person otherwise limited in mental ability has an exceptional specific skill, such as in computation or drawing.",
Unit 5 - Cognition,Emotional intelligence; EQ,"the ability to perceive, understand, manage, and use emotions.",
Unit 5 - Cognition,Intelligence test,"a method for assessing an individual’s mental aptitudes and comparing them with those of others, using numerical scores.",
Unit 5 - Cognition,Achievement test; achievement,a test designed to assess what a person has learned.,
Unit 5 - Cognition,Aptitude test; aptitude,a test designed to predict a person’s future performance; aptitude is the capacity to learn.,
Unit 5 - Cognition,Mental age,"a measure of intelligence test performance devised by Binet; the chronological age that most typically corresponds to a given level of performance. Thus, a child who does as well as an average 8-year-old is said to have a mental age of 8.",
Unit 5 - Cognition,Stanford-Binet,The widely used American revision (by Terman at Stanford University) of Binet’s original intelligence test.,
Unit 5 - Cognition,Intelligence quotient; IQ,"defined originally as the ratio of mental age (ma) to chronological age (ca) multiplied by 100 (thus, IQ = ma/ca × 100). On contemporary intelligence tests, the average performance for a given age is assigned a score of 100.",
Unit 5 - Cognition,Wechsler Adult Intelligence Scale; WAIS,the WAIS and its companion versions for children are the most widely used intelligence tests; contain verbal and performance (nonverbal) subtests.,
Unit 5 - Cognition,Standardization,defining uniform testing procedures and meaningful scores by comparison with the performance of a pretested group.,
Unit 5 - Cognition,Normal curve,"the bell-shaped curve that describes the distribution of many physical and psychological attributes. Most scores fall near the average, and fewer and fewer scores lie near the extremes.",
Unit 5 - Cognition,Reliability,"the extent to which a test yields consistent results, as assessed by the consistency of scores on two halves of the test, on alternative forms of the test, or on retesting.",
Unit 5 - Cognition,Validity,the extent to which a test measures or predicts what it is supposed to.,
Unit 5 - Cognition,Content validity,the extent to which a test samples the behavior that is of interest.,
Unit 5 - Cognition,Predictive validity,the success with which a test predicts the behavior it is designed to predict; it is assessed by computing the correlation between test scores and the criterion behavior.,
Unit 5 - Cognition,Cohort,"a group of people sharing a common characteristic, such as from a given time period.",
Unit 5 - Cognition,Crystallized intelligence,our accumulated knowledge and verbal skills; tends to increase with age.,
Unit 5 - Cognition,Fluid intelligence,our ability to reason speedily and abstractly; tends to decrease during late adulthood.,
Unit 5 - Cognition,Intellectual disability,"a condition of limited mental ability, indicated by an intelligence test score of 70 or below and difficulty adapting to the demands of life.",
Unit 5 - Cognition,Down syndrome,a condition of mild to severe intellectual disability and associated physical disorders caused by an extra copy of chromosome 21.,
Unit 5 - Cognition,Heritability,"the proportion of variation among individuals that we can attribute to genes. The heritability of a trait may vary, depending on the range of populations and environments studied.",
Unit 5 - Cognition,Stereotype threat,a self-confirming concern that one will be evaluated based on a negative stereotype,
Unit 6 - Developmental Psychology,Developmental psychology,"a branch of psychology that studies physical, cognitive, and social change throughout the life span.",
Unit 6 - Developmental Psychology,Zygote,the fertilized egg; it enters a 2-week period of rapid cell division and develops into an embryo.,
Unit 6 - Developmental Psychology,Embryo,the developing human organism from about 2 weeks after fertilization through the second month.,
Unit 6 - Developmental Psychology,Fetus,the developing human organism from 9 weeks after conception to birth.,
