Unit,Category,Term,Definition
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Louis the Pious,French Emperor who united much of Western Europe during his reign.
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Magyars,"A nomadic tribe from Central Asia who migrated to Europe and became known as the Hungarians, playing a significant role in European history."
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Missionaries,"People who go to other countries to teach, heal or spread religion."
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Monasticism,"The practice of living as a hermit or ascetic in a religious community, often centered around celibacy and prayer."
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Odoacer,"An Italian rebel who became the first Western emperor after defeating the Eastern Roman Empire, establishing the Ostrogothic Kingdom."
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Papacy,Refers to the period of time when the position of Pope is held by the Bishop of Rome and holds significant authority within the Catholic Church.
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Pope Gregory I,"A prominent figure in Christian history, serving as the first pope after the schism of 754. He is known for his efforts to unite the Catholic and Orthodox churches through diplomatic means, rather than violent conflict, which eventually led to reconciliation."
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Schism,"Refers to a division or split within a group, organization, or movement due to disagreements, conflicts, or differing ideologies. It often leads to the formation of separate factions or groups with distinct beliefs and objectives. In history, schisms have occurred within religious institutions, political parties, and social movements, resulting in fragmentation and divergence of opinions."
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,St. Benedict,"An early Christian monk who codified monastic rules, including the use of silence and prayer, which became the basis for Western monasticism."
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Theodora,"A Byzantine empress from the 6th century, played a significant role in the political and social landscape of her time as the wife of Emperor Justinian I. She was known for her intelligence, wisdom, and influence over key decisions that shaped the empire's policies and foreign relations."
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Vikings,"Seafaring people from Scandinavia known for their raids, trade, and exploration during the medieval period."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Abbasid,A powerful Islamic empire that ruled much of the Middle East and North Africa from the 8th to 10th centuries.
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Chinggis Khan,A nomad ruler who united much of Central Asia under his rule in 1206-27.
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Ghaznavid Turks,"A nomadic Turkic people who founded their empire in the 10th century and controlled parts of Central Asia, Afghanistan, and Iran. They were known for their military prowess and cultural achievements."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Ilkhanate of Persia,"A Mongol-led empire that existed from 1256 to 1335, which ruled over large parts of Asia and Africa. They were known for their strong military and administration, as well as cultural exchange between East and West."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Jurchen,One of the five tribal confederations of the Khivan Empire that later formed the Jin Dynasty.
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Karakorum,An ancient trade route that connected China and India via the Himalayas.
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Khanbaliq,"The capital of the Yuan dynasty, located on the banks of the Yangtze River and later renamed Beijing."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Khans of the Golden Horde,"A powerful ruler or leader during the time of the Golden Horde, a Mongol khanate that existed from 1237 to 1405 CE, known for their military prowess and territorial expansion."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Khubilai Khan,"A Mongol emperor who ruled from 1260-1294, known for his military conquests and establishment of the Yuan Dynasty."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Khwarazm Shah,"An Islamic empire founded by a Turkic ruler who controlled large parts of Central Asia, Iran, and India, known for its cultural and economic significance during his reign.  (c. 8th century CE-1450 CE)"
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Kumis,
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Manichaeism,"Ancient Iranian religion founded by Mani that combined elements of Zoroastrianism, Christianity, and Buddhism. It focused on the belief in two opposing forces - light and darkness, good and evil, with Mani himself as a symbol of truth."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Mongols,"Was one of the largest empires in history, founded by Genghis Khan in 1206 and stretching from Eastern Europe to China in the 13th century. It was known for its military conquests and nomadic lifestyle."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Osman,"The first Ottoman Sultan, whose rise marked the beginning of the Ottoman Empire."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Ottoman Empire,"The Ottoman Empire was a powerful state that spanned three continents for six centuries, known for its military conquests and rich culture."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Safavid,A Shia Muslim dynasty that ruled over parts of western and central Asia from 1501 to 1736.
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Seljuq Turks,"An ethnic group of Turkic origin who conquered and ruled large parts of Asia Minor, Iran, Iraq, and Central Asia from 1037 to 1299. They were known for their sophisticated culture, architecture, and literature, as well as their conflicts with other empires and religions."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Shamans,"Spiritual leaders of ancient societies who communicate with supernatural forces, interpret signs from nature, and perform rituals to maintain balance between humans and gods."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Sultan,"A ruler or leader of an empire or state, often with significant power and influence."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Tamerlane,"A powerful ruler of the Mongol Empire who conquered much of Eurasia in the 13th century. He is known for his military campaigns and expansionist policies, which led to the spread of Mongol culture and influence across Asia and Europe. His rule ended with his death in 1294."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Temujin,"A man, known as Genghis Khan or Temujin, who united and led various tribes into one of the largest empires in history, conquering much of Asia."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Uighurs,"Predominantly Muslim East Turkestanis who have resided in the Xinjiang region of China for centuries, speaking the Uyghur language and following Islam."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Yuan dynasty,"A term used to describe the imperial system of China from 1271-1368, characterized by a centralized bureaucracy and Confucianism as the ruling philosophy."
Part 1: A Global Tapestry (1200-1450),Chapter 5: Nomadic Empires and Eurasian Integration,Yurts,"Portable, circular tents made of felt or animal skins that have been used by nomadic tribes and herders since ancient times. They provide shelter from harsh weather conditions and allow people to live a nomadic lifestyle on the move."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Axum,"An ancient city-state located on the Red Sea coast of present-day Ethiopia, known for its trading role between East and West."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Bantu,"A group of languages spoken by people from Central Africa that are related and share many features, such as noun-class systems, complex verb constructions, and rich vocabularies. The word comes from a Portuguese term for black people, but it does not refer to the race or ethnicity of the speakers."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Benin,"A West African country that was once known as a major center of bronze and iron metallurgy in Africa, with cultural influences from Islamic trade networks. It became a French colony in the late 19th century and gained independence in 1960. In recent years, it has been affected by issues such as deforestation and soil erosion due to agricultural practices."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Camels,"Large, long-legged mammals with humps on their backs that store fat reserves and provide insulation during cold nights. They have adapted to desert environments through various physical and behavioral characteristics."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Gold,"A precious metal that has been highly valued throughout history, often used as currency and in jewelry, due to its rarity, durability, and attractive color."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Great Zimbabwe,"A medieval city state located in present-day Zimbabwe, known for its impressive architecture and trade networks, which flourished from around 1000 AD to the 14th century."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Griots,"African storytellers who preserve history through music, poetry, and storytelling."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Ife,"An ancient city located on the south-western coast of Nigeria, known for its rich history and culture, which includes gold trading and architecture."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Islamic slave trade,"The practice of capturing, trading, and enslaving Muslims for labor or profit during ancient times."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Jenne-jeno,The ancient civilization of Assyria was known for its brutal military campaigns and use of cuneiform writing.
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Kebra Negast,"An epic poem that narrates the history of the Kingdom of Axum and its struggle against various invaders, particularly the Muslim armies from Arabia. It is considered one of the oldest surviving examples of African literature and contains valuable historical information about ancient Africa."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Kilwa,"A 15th century city located on an island off the east coast of Africa, which was used as an important trading port and center of trade in the Indian Ocean."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Kin-based societies,"A society where kinship, or family ties, are central to social organization and decision-making processes, determining roles, responsibilities, and access to resources."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Kingdom of Ghana,"A powerful empire in West Africa that existed from the 11th to the 15th centuries, known for its trade and influence in the region."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Kingdom of Kongo,"A powerful African state that existed from the 14th to the 19th century, known for its advanced culture and trade relations with other kingdoms. It is also called the Kingdom of Kongo-Brazzaville or simply Kongo."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Mali Empire,"One of the most powerful states in West Africa, creating a vast trading network that spanned over 30 countries and controlling important gold mines. It had an impressive army and a rich cultural heritage that still influences the region today."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Sundiata,A West African leader who founded the Mali Empire in the 13th century and helped spread Islam throughout the region.
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Swahili,"An East African language spoken primarily in Kenya, Tanzania, and Uganda. It has its roots in various Bantu languages and was influenced by Arabic due to historical trade routes between East Africa and the Middle East. Swahili is a lingua franca in East Africa and plays a significant role in local culture and communication."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Timbuktu,"A city in Mali Africa that was known as a major center of trade and learning in medieval times. It is famous for its large number of mosques, libraries, and markets and has been a hub of cultural exchange for centuries."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Trans-Saharan trade,"The trade route that connected West Africa with North Africa, spanning across the Sahara desert and playing a vital role in the exchange of goods and ideas between these regions."
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Zanj revolt,A rebellion by Arab slaves against their European masters that lasted from 869-902 CE.
Part 1: A Global Tapestry (1200-1450),Chapter 6: States and Societies of Sub-Saharan Africa,Zimbabwe,"Formerly known as Rhodesia, is a landlocked country located in southern Africa that gained independence from British rule in 1980."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Battle of Manzikert,"In 1071, a battle took place in Turkey that marked the end of the Seljuk Empire and the beginning of the Ottoman Empire. It was fought between the Seljuks, led by Sultan Kilij Arslan I, and a coalition of Byzantine forces. The Seljuks suffered a crushing defeat, which allowed the Ottomans to expand their territory and influence in the region."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Bogomils,A heretical Christian sect in 12th century Eastern Europe known for their opposition to monotheistic beliefs and practices.
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Capetian,A term that describes the period of European history from the coronation of Charles I as King of France in 1214 until the death of Louis XIV of France in 1715.
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Cathars,"A medieval Christian sect known for their rejection of authority, worship of nature and emphasis on individual spiritual experiences."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Cathedral schools,"Established by the Catholic Church during the Middle Ages as educational institutions, providing education primarily through Latin."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Chivalry,"Characteristic of medieval knights that emphasized loyalty, honor, and code of conduct."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Crusades,"A series of holy wars fought between Christians and Muslims over control of the Holy Land during the Middle Ages, spanning from the 11th to the 13th centuries."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Dominicans,"A Caribbean country known for its vibrant culture, beautiful beaches, and colonial architecture. It has a rich history of Spanish colonization, African influence, and indigenous Taino traditions."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Eleanor of Aquitaine,"Queen consort of France from 1152 until 1180, known as La Belle Dame sans Merci due to her refusal to marry the king."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Franciscans,A Catholic religious order founded by St. Francis of Assisi who emphasized living simply and spreading love and compassion.
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Frederick Barbarossa,A medieval emperor who had a major impact on European history through his conquests and military campaigns.
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Guilds,"Associations of artisans that controlled craft production during medieval times, often with strict membership requirements and limited competition."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Hanseatic League,A confederation of merchant guilds that dominated trade and politics in Northwestern Europe from the 13th to the 17th century.
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Marco Polo,"The Venetian merchant traveler who explored China during the late 13th century, known for introducing Europeans to new goods and cultural practices from East Asia."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Normans,"European warriors who invaded and conquered Sicily in 1071-1074, establishing rule that lasted until 1130."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Otto I,"A German emperor who united many different kingdoms to form one strong empire, and played an important role in expanding Europe's power in the Middle Ages."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Pilgrimage,"A journey undertaken by people, often religious or spiritual, which involves travel to sacred or holy places for worship, contemplation, or spiritual rejuvenation."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Pope Urban II,"Was the leader of the Catholic Church who called for the First Crusade in 1095 to reclaim Jerusalem from Muslim rule, sparking one of the most significant historical events."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Relics,"Physical objects or artifacts left behind by ancient civilizations that provide evidence of their history, culture, and beliefs."
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Reconquista,The process by which Spain regained control of its former territories lost during the Muslim rule primarily from the 11th to 15th centuries. It refers to the series of military campaigns and conquests that led to the establishment of Catholic kingdoms across Iberia (Spain) and parts of North Africa.
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,Saladin,A Muslim ruler from Egypt who played a significant role in the Crusades and is remembered as one of the greatest military leaders in history.
Part 1: A Global Tapestry (1200-1450),Chapter 7: The Increasing Integration of Europe with the Wider World,St. Thomas Aquinas,"A medieval theologian who integrated reason, faith, and ethics, greatly influencing the development of Western philosophy and theology during his time. His teachings on natural law, human nature, and the relationship between reason and faith shaped the intellectual landscape of the Middle Ages."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Aboriginal peoples,"Indigenous people of Australia before European colonization, with diverse cultures and languages."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Alii nui,"In Polynesian culture, the title refers to the high-ranking chief or king of an island or group of islands."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Ayllu,"A group of indigenous people living in the Andes mountains who were considered important in ancient Peru, known for their unique culture and political system."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Aztec Empire,"A civilization that flourished in central Mexico from the 14th to the 16th centuries, known for their sophisticated culture and monumental architecture."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Cahokia,"An ancient city in what is now Illinois, USA, known for its large mounds and complex society. It flourished from about 600 AD to 1200 AD and served as a major trading hub in North America."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Calpulli,"An ancient city in Guatemala known for its elaborate ballgame, which was believed to honor the gods and predict the future. It is also associated with the Mayan civilization and their belief in deities like Kukulkan."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Chinampa,"An ancient farming technique in Central America where earthen mounds were created to create fields, allowing for more efficient use of land and water resources."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Chimu,"An ancient civilization that flourished on the coast of Peru from 1438-1538 CE, known for their advanced agricultural techniques and impressive architecture, such as the famous Chan Chan ruins."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Chucuito,"Term used to describe the indigenous people of Bolivia and Peru who were known for their expertise in making and selling textiles made from llama wool. It also refers to the weaving techniques and patterns associated with this group. The word is derived from the Aymara language, spoken by many of these communities."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Cuzco,The capital of Peru.
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Huitzilopochtli,"The Aztec god of war, fertility and agriculture. He was worshipped by the ancient Mesoamerican civilization as the supreme deity who created the world, controlled the sun, and determined destiny through his son, the hero Moctezuma II."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Inca Empire,"Located in the Andes Mountains of South America, was one of the largest pre-Columbian civilizations and is known for its impressive engineering feats."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Iroquois,"Native American tribe from the Haudenosaunee League who live in present-day upstate New York and Ontario, Canada. They are known as the Six Nations."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Itzcoatl,"An emperor of the Aztec Empire who united and expanded the empire through military conquest, diplomacy, and religious conversion. He is known for his military campaigns against neighboring tribes, as well as his efforts to promote Spanish language and culture within the empire. His reign marked a period of rapid growth and consolidation of power for the Aztecs."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Kapu,"Ancient Hawaiian warriors who served as guardians of important structures, often used during religious ceremonies and battles."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Maori,"Native people of New Zealand, with unique culture and language."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Marae,"A traditional meeting house or assembly hall in Maori culture, typically used for social and ceremonial purposes."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Mexica,"The name of a pre-Columbian civilization that existed in Central America, known for their advanced agricultural techniques, impressive architecture and political organization."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Motecuzoma I,A powerful leader of the Aztec empire who was known for his military prowess and strategic alliances.
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Nan Madol,"A pre-colonial city located in Palau, known for its intricate stone structures and advanced urban planning."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Navajo,"A Native American tribe located in the Southwestern United States, known for their rich cultural heritage and vibrant art and textile traditions."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Polynesians,"Indigenous peoples of the Pacific Ocean, known for their seafaring skills and navigational abilities. They have unique cultures and traditions that span across several countries."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Pueblo,"An indigenous American community of farmers, artisans, and traders that emerged in the Southwest during pre-Columbian times, characterized by complex social organization and unique architecture."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Quechua,An indigenous language spoken in Peru that has influenced Latin American culture.
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Quetzalcoatl,"A significant Aztec deity associated with creation, war, and fertility. He is often depicted as a feathered serpent or an eagle. The name itself means one who dances"" in Nahuatl."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Quipi,"An Incan ruler who was a warrior, poet, and diplomat, known for his skillful diplomacy and military campaigns against neighboring tribes."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Tenochtitlan,"The capital of the Aztec Empire, located at the mouth of the Colorado River on an island in Lake Texcoco. It was one of the largest cities in the world and featured a complex system of canals, palaces, temples, and gardens. In 1521, it was conquered by Spanish conquistadors led by Hernán Cortés."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Tezcatlipoca,"One of the gods in Aztec mythology who was associated with war, death, and creation. He was known as the Great Serpent and was believed to control the forces of nature. He was often depicted with a serpent's head and body as well as a human-like face with horns or antlers."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Toltecs,The ancient civilization known for their impressive architecture and complex society in central Mexico.
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Tula,"A city built on three hills in central Mexico, known for its ancient pyramids and temples, and as one of the oldest continuous inhabited areas in the world, with significant cultural and historical heritage."
Part 1: A Global Tapestry (1200-1450),Chapter 8: Worlds Apart - The Americas and Oceania,Viracocha,"The Incan creation myth of agiant serpent or rainbow serpent who emerged from Lake Titicaca and created the world, including humans. It is an important part of Incan mythology and culture."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Bartolomeu Dias,Became the first European to sail around Africa and reach the Indian Ocean.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Bubonic plague,"An infectious disease caused by bacteria that leads to fever, chills, and painful swelling of lymph nodes throughout the body. It often results in death."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Ceuta,"A Spanish city on a Mediterranean island off North Africa, known for its vibrant culture and history as one of 17 former colonies of Spain."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Christopher Columbus,"He was an explorer who, in 1492, embarked on his first voyage across the Atlantic Ocean and is credited with discovering America."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Desiderius Erasmus,"A Renaissance humanist, scholar, and theologian who played an influential role in spreading knowledge during the 16th century."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Eunuch,"An individual who has been castrated, typically as part of traditional Chinese medicine or religious practices."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Francesco Petrarca,An Italian Renaissance poet and scholar who made significant contributions to the development of humanism and literature. He is widely regarded as one of the greatest poets of all time.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Hongwu,"Emperor of China, founded the Ming Dynasty in 1368."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Humanist,"An individual who believes in the importance of human values, ethics, and individualism."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Hundred Years' War,"A series of wars fought between England and France from 1337 to 1453, resulting in significant political, economic, and cultural changes."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Ibn Battuta,"A 13th-century Moroccan explorer, scholar, poet and Muslim preacher who traveled extensively throughout Africa, Asia, Europe, and the Middle East. He left behind vivid accounts of his travels, which provide valuable insight into the cultures and societies of the time."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,John of Montecorvino,"A medieval Italian Franciscan friar and missionary known for his missionary work and translation of the Bible into Arabic. He is considered one of the most important translators of the Bible into other languages, including the Syriac language which led to the translation of the New Testament into Arabic."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Leonardo da Vinci,"Italian Renaissance artist known for his paintings, including the Mona Lisa and The Last Supper; also an inventor, engineer, and scientist."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Mandarin,"One of the six official languages of China, spoken by over a billion people and used as a lingua franca in various parts of East Asia. It is also known as Classical Chinese or Putonghua."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Marco Polo,"An Italian merchant and explorer who traveled along the Silk Road, connecting Europe and Asia through trade routes, bringing new goods, ideas, and knowledge to different cultures."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Melaka,"A coastal city in Malaysia, was founded by the Portuguese in 1511 and became an important trading center due to its strategic location on the Strait of Malacca. It played a significant role in the spice trade during the 16th century."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Michelangelo Buonarotti,"Italian Renaissance artist, famous for his sculptures such as David, and paintings such as The Creation of Adam."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Ming dynasty,"A Chinese dynasty that ruled from 1368 to 1644, known for its cultural achievements, trade expansion, and conflicts with other powers."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Qadi,"A judge who presides over a Muslim court, often dealing with legal disputes and issuing rulings on matters of religion or law."
